nombre de archivo,hash ipfs
N-1500-QA-CRE-21002-0-0 - Certificado recepcion aporte Electrodo.pdf,QmcpbmCY6fdSdNnvD1nneRcimS3JX5WvguV7FBMfgvR1jb
N-1500-QA-CRE-21003-0-0 - Certificado recepcion aporte - Varilla.pdf,Qmc8oFHM8GH2LU4sYhAGVy9G1kq62A9FMa9EE3LF4Hy82r
N-1500-QA-CRE-21004-0-0 - Certificado recepcion Chapa cortada SILMAR.pdf,QmZ2hbWLQzrYNTnfyT3nzoxDDDMZqqbcCbAV74brJMTQPZ
N-1500-QA-CRE-21005-0-0 - Certificado de recepcion Recipiente Rolado.pdf,QmNTvVgi9UGCGmLJ2V4PxmdZRwUx387fwUmwj29q1n8wCa
N-1500-QA-PCC-21001-0-0 - Control protocol Ingreso Chapa.pdf,QmRwcJe7BbQmK8ZjNGBhgREpSrjok3db9kS1yjJHv7RfWY
N-1500-QA-PCC-21002-0-0 - Control protocol Ingreso probetas Drop Weight.pdf,QmUysVT7vWPyXjnzVJRFdt2LwY8ZAmh7KatcYBpGEbbPRS
N-1500-QA-PCC-21003-0-0 - Control protocol Ingreso aporte electrodo.pdf,Qmf4g3UqzMhM47fXxLa5y6r7dtoP1VNhzfoRPLJbLfM16U
N-1500-QA-PCC-21004-0-0 - Control protocol Ingreso aporte varilla.pdf,QmcD4uK7MiRMatKhCXXbum7ZDsjCdxGZXHzDzq2YSaCxy9
N-1500-QA-PCC-21005-0-0 - Control protocol Ingreso Chapa Cortada por agua.pdf,Qmd71kXKXty6tvcQrjoZUA4g6MuvtZ4g5ju9rdZmp4G5sY
N-1500-QA-PCC-21006-0-0 - Control protocol Ingreso Recipiente Rolado Biseles.pdf,QmQudF49ZnvgehWsD5j7gmczfzFnLp4pBczftkcYVa7q5K
